0 0
0 0
0 0
0 0
0 0
0 0
0 0
727 1
50 1
50 1
72 1
114 1
115 1
182 1
194 1
0 0
0 0
0 0
0 0
0 0
0 0
974 1
63 1
63 1
128 1
167 1
187 1
194 1
235 1
0 0
0 0
0 0
0 0
382 1
58 1
58 1
64 1
115 1
145 1
0 0
0 0
0 0
0 0
0 0
846 1
134 1
134 1
143 1
156 1
196 1
217 1
0 0
0 0
0 0
0 0
0 0
727 1
66 1
66 1
80 1
148 1
191 1
242 1
0 0
0 0
0 0
0 0
0 0
0 0
673 1
34 1
34 1
44 1
99 1
137 1
163 1
196 1
0 0
0 0
0 0
0 0
0 0
445 1
29 1
29 1
52 1
85 1
97 1
182 1
0 0
0 0
0 0
0 0
460 1
40 1
40 1
44 1
153 1
223 1
0 0
0 0
0 0
509 1
65 1
65 1
210 1
234 1
0 0
0 0
0 0
0 0
0 0
0 0
1515 1
250 1
250 1
251 1
252 1
253 1
254 1
255 1
